Collection,Params,Model,FloorEthPrice,VolumeInEth,Sales,test_rmse,test_mae,train_rmse,train_mae,test_predict
doodles-official,FloorEthPrice,LSTM_MODEL,True,False,False,0.17671964085319947,0.12404864469018143,1.1983758438441359,0.7173385718741886,"[5.075656890869141, 5.150879859924316, 5.208558559417725, 5.200448036193848, 5.129598617553711, 5.055739879608154, 5.023184299468994, 4.998962879180908, 4.969071388244629, 4.950334548950195, 4.775291919708252, 4.485797882080078, 4.258327484130859, 4.1672468185424805, 4.081541061401367, 3.935607433319092, 3.716846227645874, 3.5483450889587402, 3.4892518520355225, 3.49082350730896, 3.5237655639648438, 3.553468942642212, 3.5162863731384277, 3.3920059204101562, 3.2842371463775635, 3.187574625015259, 3.1220643520355225, 3.0955018997192383, 3.0895495414733887, 3.095309257507324, 3.1004674434661865, 3.1085517406463623, 3.0928046703338623, 3.0719947814941406, 3.055103063583374, 3.0316882133483887, 2.907501459121704, 2.7857069969177246, 2.713637351989746, 2.689674139022827, 2.6757400035858154, 2.652010202407837, 2.6186888217926025, 2.593311071395874, 2.586763858795166, 2.5616986751556396, 2.4669723510742188, 2.3836066722869873, 2.3166704177856445, 2.2877578735351562, 2.2809412479400635, 2.239236831665039, 2.1494052410125732, 2.065791606903076, 2.071575880050659, 2.0957753658294678, 2.127025842666626, 2.1392242908477783, 2.1398847103118896, 2.152554512023926, 2.2613065242767334, 2.4225027561187744, 2.5351004600524902, 2.575805187225342, 2.589585065841675, 2.5796091556549072, 2.516008138656616, 2.41345477104187, 2.366807222366333, 2.3518476486206055, 2.326280355453491, 2.257207155227661, 2.1730639934539795, 2.121011734008789, 2.1099255084991455, 2.182206869125366, 2.1932899951934814, 2.1958675384521484, 2.2040579319000244, 2.2095603942871094, 2.2361247539520264, 2.23288893699646, 2.1801557540893555, 2.1382968425750732, 2.12357497215271, 2.1130528450012207, 2.1181485652923584, 2.0930275917053223, 2.0813255310058594]"
doodles-official,FloorEthPrice,GRU_MODEL,True,False,False,0.1671990733823722,0.11843129181199666,1.1612142563980345,0.6955543223372324,"[5.109477519989014, 5.173056602478027, 5.227083206176758, 5.203686237335205, 5.123237609863281, 5.056741237640381, 5.039508819580078, 5.010985851287842, 4.975290775299072, 4.9569268226623535, 4.731231689453125, 4.408999443054199, 4.2103095054626465, 4.164247989654541, 4.071578502655029, 3.894498825073242, 3.650386333465576, 3.500152826309204, 3.479252338409424, 3.5006682872772217, 3.5341694355010986, 3.5554778575897217, 3.5001089572906494, 3.3585379123687744, 3.2624619007110596, 3.174046039581299, 3.113220453262329, 3.092331886291504, 3.088517189025879, 3.0947794914245605, 3.100017786026001, 3.1112773418426514, 3.091219186782837, 3.068894624710083, 3.055145263671875, 3.0302233695983887, 2.878314733505249, 2.7553439140319824, 2.6992456912994385, 2.688310146331787, 2.6734964847564697, 2.643112897872925, 2.6053855419158936, 2.5836992263793945, 2.5854551792144775, 2.558262348175049, 2.4428977966308594, 2.3605401515960693, 2.3009533882141113, 2.282172203063965, 2.279362201690674, 2.2261953353881836, 2.121694564819336, 2.040266752243042, 2.0716676712036133, 2.103928327560425, 2.1314263343811035, 2.136470079421997, 2.1340572834014893, 2.152740478515625, 2.2883317470550537, 2.465061664581299, 2.5620152950286865, 2.5804545879364014, 2.591315746307373, 2.5817275047302246, 2.507977247238159, 2.394171714782715, 2.3587043285369873, 2.350332260131836, 2.319671869277954, 2.23722767829895, 2.1475753784179688, 2.104682445526123, 2.1067543029785156, 2.199333667755127, 2.1945724487304688, 2.1883366107940674, 2.2010998725891113, 2.2106685638427734, 2.2441916465759277, 2.233682155609131, 2.1660714149475098, 2.1256325244903564, 2.1196837425231934, 2.11281418800354, 2.117952823638916, 2.0841012001037598, 2.0740714073181152]"
doodles-official,FloorEthPrice_VolumeInEth,LSTM_MODEL,True,True,False,0.4520853984262497,0.3775289321893896,1.4749911217968477,0.9207382221635414,"[4.926541045308113, 4.901807457208633, 4.689485996961594, 4.959072560071945, 4.907072499394417, 4.366320565342903, 3.9487656205892563, 3.849151112139225, 3.760232001543045, 3.8437239602208138, 4.101013571023941, 4.049996100366116, 3.914904870092869, 3.970989391207695, 4.002104207873344, 3.873957745730877, 4.037926614284515, 4.0313912853598595, 3.980557069182396, 3.675815761089325, 3.533544607460499, 3.3106174543499947, 3.4544674158096313, 3.315222844481468, 3.1751565113663673, 3.2021535485982895, 3.2188598215579987, 3.1011117696762085, 2.9803073406219482, 2.8731223717331886, 2.841850571334362, 2.8551720827817917, 3.0826146006584167, 3.173642098903656, 3.279501035809517, 3.3889279887080193, 3.3599116280674934, 3.3806414902210236, 3.24383657425642, 3.07301776856184, 2.9089697673916817, 2.780670166015625, 2.727392129600048, 2.6897932440042496, 2.7032496333122253, 2.749964788556099, 2.8121896162629128, 2.8306528255343437, 2.8117308393120766, 2.771741636097431, 2.7380372285842896, 2.744682766497135, 2.7262317314743996, 2.648494988679886, 2.6366928555071354, 2.59735369309783, 2.5798452012240887, 2.549698557704687, 2.535519242286682, 2.5561502687633038, 2.616449002176523, 2.877687394618988, 2.893465220928192, 2.8497612699866295, 2.813825771212578, 2.7870244830846786, 2.7749175131320953, 2.7558516785502434, 2.742964915931225, 2.741857700049877, 2.7463679388165474, 2.796837568283081, 2.7585751861333847, 2.715857669711113, 2.669258650392294, 2.6537259109318256, 2.6614889167249203, 2.6674164943397045, 2.6797696724534035, 2.695034898817539, 2.7126801908016205, 2.735582835972309, 2.739107921719551, 2.719829998910427, 2.6948564499616623, 2.6763793043792248, 2.6625205241143703, 2.647232551127672, 2.630531083792448]"
doodles-official,FloorEthPrice_VolumeInEth,GRU_MODEL,True,True,False,0.20878845719734698,0.15540793526903696,1.1243806100616511,0.7022571233613312,"[5.077141627669334, 5.418179497122765, 5.378445312380791, 5.252325862646103, 4.936990715563297, 5.728395372629166, 5.280628427863121, 4.766805931925774, 4.488135457038879, 4.430196285247803, 4.388559713959694, 3.9945151656866074, 3.7679459899663925, 3.856754571199417, 3.8089684024453163, 3.603180669248104, 4.049895823001862, 3.645193040370941, 3.59910037368536, 3.489926517009735, 3.510473445057869, 3.3488583713769913, 3.706782564520836, 3.226638525724411, 3.0530817955732346, 3.1282292678952217, 3.0226935893297195, 2.9362458512187004, 2.8601116240024567, 2.83076623827219, 2.7860585525631905, 2.816554084420204, 3.0920502841472626, 3.02217073738575, 3.1151224076747894, 3.1313167214393616, 2.8646846562623978, 3.005510278046131, 2.760134130716324, 2.638940766453743, 2.5605751276016235, 2.4833910316228867, 2.44875817745924, 2.4069107994437218, 2.431833729147911, 2.4636254981160164, 2.4852440804243088, 2.322740126401186, 2.28417194634676, 2.2655469477176666, 2.27479200810194, 2.3403168581426144, 2.2269169352948666, 2.0431953482329845, 2.215757954865694, 2.148253507912159, 2.1536523066461086, 2.128884918987751, 2.128787524998188, 2.2167584858834743, 2.410180225968361, 3.05346816778183, 2.668269172310829, 2.5174315124750137, 2.4841520823538303, 2.4778405353426933, 2.4212072119116783, 2.320663295686245, 2.319580588489771, 2.3204736337065697, 2.3035398945212364, 2.285077966749668, 2.1834141798317432, 2.1687488555908203, 2.1493065804243088, 2.2497875429689884, 2.2506773844361305, 2.244582250714302, 2.261863276362419, 2.2765974812209606, 2.311483111232519, 2.3165073916316032, 2.2544783130288124, 2.1939745396375656, 2.1852566562592983, 2.1875606328248978, 2.1927036121487617, 2.1539154946804047, 2.1435121186077595]"
doodles-official,FloorEthPrice_Sales,LSTM_MODEL,True,False,True,0.4347966415363128,0.35407481709881844,1.426405689393008,0.8852331857151411,"[5.3123795092105865, 4.900731958448887, 4.596464805305004, 4.978564493358135, 5.001437023282051, 4.204874329268932, 3.825361669063568, 3.9511431232094765, 3.9093252196907997, 3.988490514457226, 4.313828408718109, 4.210560344159603, 3.96160688996315, 3.9438026919960976, 3.9163417518138885, 3.796174868941307, 4.295362636446953, 4.203442253172398, 4.064662225544453, 3.407627634704113, 3.168209820985794, 2.8334826976060867, 3.377564288675785, 3.114623263478279, 2.9228029176592827, 3.1579283475875854, 3.099505089223385, 2.7927037701010704, 2.5230499282479286, 2.4382617324590683, 2.446392849087715, 2.5633463710546494, 2.978558734059334, 3.103828229010105, 3.2674751207232475, 3.358102150261402, 3.200826235115528, 3.389517478644848, 3.110531434416771, 2.7773632556200027, 2.5061382949352264, 2.3427095785737038, 2.317938346415758, 2.310776524245739, 2.3749123886227608, 2.4968800991773605, 2.7019658908247948, 2.6620162539184093, 2.6161702759563923, 2.557478703558445, 2.525903668254614, 2.6385640054941177, 2.658046167343855, 2.4751282408833504, 2.5359982028603554, 2.4231031909585, 2.3616338074207306, 2.292098183184862, 2.2756740003824234, 2.369889549911022, 2.49995057284832, 3.089943177998066, 2.8258222118020058, 2.5731280595064163, 2.4293303191661835, 2.4055677875876427, 2.451655328273773, 2.48696481436491, 2.5493482276797295, 2.586819924414158, 2.6159221455454826, 2.681477591395378, 2.626985974609852, 2.588559079915285, 2.5330707766115665, 2.5305415764451027, 2.549174103885889, 2.56227920204401, 2.581780105829239, 2.6025935858488083, 2.6245112381875515, 2.6540912985801697, 2.6647014766931534, 2.6255005560815334, 2.5898679718375206, 2.573832243680954, 2.560411736369133, 2.539250649511814, 2.524214170873165]"
doodles-official,FloorEthPrice_Sales,GRU_MODEL,True,False,True,0.22598686939084375,0.1751458840004755,1.1432680899400383,0.6976372458606038,"[5.206996649503708, 5.480645567178726, 5.279458098113537, 5.080782368779182, 5.004998631775379, 5.577952414751053, 4.9268790408968925, 4.612098462879658, 4.519849054515362, 4.5037976279854774, 4.508219443261623, 4.174963802099228, 3.8872859850525856, 3.8987794369459152, 3.8343110233545303, 3.6398539915680885, 3.9645546600222588, 3.6840426698327065, 3.584422715008259, 3.763261467218399, 3.5017179176211357, 3.2954073324799538, 3.2980174273252487, 3.308051571249962, 3.1317207142710686, 2.966830126941204, 3.0435471162199974, 3.091875359416008, 2.897584281861782, 2.711560159921646, 2.625178899616003, 2.673314116895199, 3.0191838815808296, 2.997913546860218, 3.084268696606159, 3.0860243514180183, 2.8330364152789116, 2.8540190532803535, 2.7731131613254547, 2.6840149611234665, 2.528214853256941, 2.37301192432642, 2.295372735708952, 2.2496795766055584, 2.2774035446345806, 2.338515229523182, 2.4357381388545036, 2.2493779435753822, 2.17562185972929, 2.141766235232353, 2.145921178162098, 2.2796482518315315, 2.1886569559574127, 1.9468758963048458, 2.1175955459475517, 2.043291300535202, 2.0234093107283115, 1.9752782583236694, 1.9681207612156868, 2.0952852740883827, 2.3044914081692696, 2.871354542672634, 2.693818114697933, 2.464019399136305, 2.3107749223709106, 2.269692599773407, 2.247698538005352, 2.1792893521487713, 2.225302405655384, 2.2328187227249146, 2.2215088456869125, 2.201162312179804, 2.0837809294462204, 2.064647816121578, 2.038167543709278, 2.137951370328665, 2.1446267031133175, 2.1418698765337467, 2.160336770117283, 2.177022859454155, 2.2114868760108948, 2.221557702869177, 2.1757690720260143, 2.0964491963386536, 2.079345017671585, 2.0864573419094086, 2.0901501439511776, 2.0461147651076317, 2.0389279536902905]"
doodles-official,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,True,True,True,0.3511341301919178,0.30216041972882823,1.3067042029280511,0.8544570206367775,"[5.620997995138168, 5.7340032160282135, 5.485581263899803, 5.931361883878708, 5.991052865982056, 5.3660596162080765, 4.68510839343071, 4.442427560687065, 4.239720553159714, 4.192335173487663, 4.329706832766533, 4.149850249290466, 3.914067730307579, 3.908193975687027, 3.8808704763650894, 3.7195930778980255, 3.7962652146816254, 3.865382269024849, 3.9943530559539795, 3.9934662580490112, 3.984873801469803, 3.8686071634292603, 3.90149749815464, 3.832845628261566, 3.6784127205610275, 3.54899725317955, 3.553231328725815, 3.546918660402298, 3.4771313816308975, 3.3763670474290848, 3.2981391698122025, 3.2336822897195816, 3.2516771107912064, 3.255745232105255, 3.28402216732502, 3.3239408880472183, 3.2782227396965027, 3.148848921060562, 3.140965774655342, 3.149976000189781, 3.151282489299774, 3.115257605910301, 3.05550254881382, 2.9974070340394974, 2.9466359317302704, 2.8842134326696396, 2.7640068233013153, 2.694913476705551, 2.638951178640127, 2.5889762081205845, 2.551701381802559, 2.4742563404142857, 2.383759383112192, 2.37149815261364, 2.3577425330877304, 2.394943192601204, 2.4237950406968594, 2.4543230906128883, 2.4658826999366283, 2.4570281766355038, 2.5204065144062042, 2.6177231334149837, 2.8208397403359413, 2.931027263402939, 2.9744566529989243, 2.9547888338565826, 2.877630688250065, 2.779480293393135, 2.6789326928555965, 2.603199575096369, 2.534459922462702, 2.4621154107153416, 2.396900523453951, 2.3508841060101986, 2.319661322981119, 2.331922233104706, 2.333281584084034, 2.3368311785161495, 2.345282670110464, 2.355364389717579, 2.3726920299232006, 2.3800693042576313, 2.3513399995863438, 2.327593807131052, 2.3093404434621334, 2.2927937172353268, 2.284847777336836, 2.271423105150461, 2.2581933811306953]"
doodles-official,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,True,True,True,0.21509713400741387,0.16473061835161484,1.1432829034636371,0.7128060640652805,"[5.07086355984211, 5.3589158952236176, 5.190283969044685, 5.031259126961231, 4.719023607671261, 5.245171889662743, 4.785170786082745, 4.442570447921753, 4.371914952993393, 4.421641632914543, 4.330152474343777, 4.032516121864319, 3.8671846985816956, 3.8467297181487083, 3.803982086479664, 3.673309788107872, 3.345758743584156, 3.1821698397397995, 3.174776867032051, 3.6168273612856865, 3.513485610485077, 3.4984475299715996, 3.048733025789261, 3.1422139555215836, 3.079818047583103, 2.671950440853834, 2.7505738213658333, 3.017336279153824, 3.0854678601026535, 2.9835514575242996, 2.9560056179761887, 2.9580316692590714, 2.9321546629071236, 2.97116319835186, 2.9609329849481583, 2.9478110671043396, 2.874901093542576, 2.39983643963933, 2.5097836814820766, 2.6623071543872356, 2.7033572793006897, 2.643158182501793, 2.559236600995064, 2.5492886379361153, 2.573257651180029, 2.5554649867117405, 2.3663111217319965, 2.4077573902904987, 2.3971190191805363, 2.3844734989106655, 2.3796592243015766, 2.227870851755142, 2.083989653736353, 2.1514644660055637, 2.074505753815174, 2.178560499101877, 2.2352755181491375, 2.2656597197055817, 2.258814588189125, 2.2075858302414417, 2.308469343930483, 2.175316382199526, 2.667420659214258, 2.806353986263275, 2.7821547836065292, 2.6742705963552, 2.545707806944847, 2.4502663426101208, 2.398812521249056, 2.422585304826498, 2.4158740900456905, 2.3618635162711143, 2.2936433516442776, 2.2537158206105232, 2.25610725954175, 2.335418004542589, 2.351523093879223, 2.3474621810019016, 2.360185071825981, 2.37246872857213, 2.4047079011797905, 2.40269722789526, 2.325495671480894, 2.2916650362312794, 2.2848181426525116, 2.272941041737795, 2.2776870764791965, 2.259442362934351, 2.2420778796076775]"
