Collection,Params,Model,FloorEthPrice,VolumeInEth,Sales,test_rmse,test_mae,train_rmse,train_mae,test_predict
azuki,FloorEthPrice,LSTM_MODEL,True,False,False,1.6456877053651529,0.7783947592391374,2.193195542543539,1.3086329333628295,"[14.183257102966309, 13.997919082641602, 13.823391914367676, 13.739289283752441, 13.71650218963623, 13.727398872375488, 13.759904861450195, 13.815350532531738, 13.875260353088379, 13.931797981262207, 13.9935941696167, 14.036117553710938, 14.059642791748047, 14.04532527923584, 13.946243286132812, 13.732538223266602, 13.506401062011719, 13.317334175109863, 13.261981964111328, 13.26215648651123, 13.285093307495117, 13.344425201416016, 13.392280578613281, 13.370766639709473, 13.291579246520996, 13.211627006530762, 13.101461410522461, 12.957473754882812, 12.79497241973877, 12.656496047973633, 12.587596893310547, 12.582188606262207, 12.638484001159668, 12.707723617553711, 12.756072044372559, 12.744568824768066, 12.718400955200195, 12.734559059143066, 12.794608116149902, 12.86191177368164, 12.889446258544922, 12.879866600036621, 12.856279373168945, 12.90184211730957, 13.021485328674316, 13.163488388061523, 13.259561538696289, 13.292230606079102, 13.345355987548828, 13.40760326385498, 13.535320281982422, 13.7064790725708, 13.877389907836914, 14.087080001831055, 14.257498741149902, 14.374734878540039, 14.358932495117188, 14.25178050994873, 14.127678871154785, 14.051321983337402, 13.988594055175781, 13.938084602355957, 13.927886009216309, 13.94334602355957, 13.982263565063477, 14.024955749511719, 14.07952880859375, 14.21803092956543, 14.349108695983887, 14.442061424255371, 14.47728157043457, 14.46143913269043, 14.388903617858887, 14.287188529968262, 14.088197708129883, 13.82859992980957, 13.5704345703125, 13.321792602539062, 13.222848892211914, 13.218709945678711, 13.284770965576172, 13.172162055969238, 13.059659957885742, 13.02966022491455, 14.222177505493164, 15.026041030883789, 15.390680313110352, 15.486159324645996, 15.336215019226074, 15.084979057312012]"
azuki,FloorEthPrice,GRU_MODEL,True,False,False,1.6174457409638292,0.6949360170855459,1.9509556134279782,1.2223777169443735,"[14.63958740234375, 14.148421287536621, 13.85303783416748, 13.8739595413208, 14.078499794006348, 14.246371269226074, 14.3477783203125, 14.42643928527832, 14.495675086975098, 14.54039478302002, 14.553885459899902, 14.556039810180664, 14.552349090576172, 14.505868911743164, 14.303686141967773, 13.877507209777832, 13.47280502319336, 13.321065902709961, 13.460990905761719, 13.74423599243164, 13.873204231262207, 13.967434883117676, 14.026839256286621, 13.90345287322998, 13.636287689208984, 13.433244705200195, 13.314562797546387, 13.142500877380371, 12.957234382629395, 12.833176612854004, 12.85004997253418, 13.015124320983887, 13.214754104614258, 13.356801986694336, 13.369345664978027, 13.258782386779785, 13.110283851623535, 13.119077682495117, 13.286428451538086, 13.445575714111328, 13.46869945526123, 13.37092113494873, 13.27074909210205, 13.340514183044434, 13.6239013671875, 13.898001670837402, 13.985398292541504, 13.89217758178711, 13.851165771484375, 13.94764232635498, 14.1365327835083, 14.443241119384766, 14.681794166564941, 14.920587539672852, 15.123345375061035, 15.120408058166504, 14.896783828735352, 14.498321533203125, 14.244538307189941, 14.227821350097656, 14.307300567626953, 14.334393501281738, 14.373810768127441, 14.47135066986084, 14.55688190460205, 14.606905937194824, 14.640896797180176, 14.825454711914062, 15.088793754577637, 15.150898933410645, 15.071206092834473, 14.906074523925781, 14.717586517333984, 14.529353141784668, 14.240213394165039, 13.809333801269531, 13.483430862426758, 13.295781135559082, 13.360100746154785, 13.663217544555664, 13.920876502990723, 13.756407737731934, 13.308173179626465, 13.300127983093262, 15.477224349975586, 17.93416404724121, 17.312789916992188, 16.325475692749023, 15.451964378356934, 14.804839134216309]"
azuki,FloorEthPrice_VolumeInEth,LSTM_MODEL,True,True,False,1.6239045863372357,0.7008814872615539,2.2481147357057347,1.3481675975937306,"[15.425101071596146, 15.353220954537392, 15.1576928794384, 14.953672528266907, 14.79240296781063, 14.712398439645767, 14.771446868777275, 14.8046715259552, 14.73331792652607, 14.645914256572723, 14.58717092871666, 14.532048717141151, 14.49956763535738, 14.527991741895676, 14.47132658958435, 14.277186289429665, 13.9917326644063, 13.79782685637474, 13.692916475236416, 13.709392815828323, 13.719738364219666, 13.735045731067657, 13.768330536782742, 13.7676340341568, 13.687254667282104, 13.623418763279915, 13.568459562957287, 13.417590469121933, 13.21520023047924, 13.021315343677998, 12.885268941521645, 12.817335091531277, 12.816324770450592, 12.866085916757584, 12.92841026186943, 12.968059480190277, 12.998395264148712, 13.038821183145046, 13.094059333205223, 13.149525873363018, 13.17197173833847, 13.15322631597519, 13.135518237948418, 13.201012149453163, 13.342642776668072, 13.49828103929758, 13.648712530732155, 13.734695300459862, 13.830762103199959, 13.911742955446243, 13.991090208292007, 14.084637746214867, 14.233772993087769, 14.478759728372097, 14.702933326363564, 14.816300243139267, 14.812618106603622, 14.730230301618576, 14.596145264804363, 14.487878769636154, 14.40564438700676, 14.311545923352242, 14.246069446206093, 14.247244521975517, 14.269757509231567, 14.2915513291955, 14.374084711074829, 14.579392589628696, 14.821399793028831, 14.944672912359238, 14.970571652054787, 14.92993739247322, 14.827770307660103, 14.736548513174057, 14.659717038273811, 14.452129617333412, 14.152782551944256, 13.831666946411133, 13.615338809788227, 13.519896157085896, 13.517573900520802, 13.407826356589794, 13.229768380522728, 13.130735993385315, 13.910064026713371, 14.879402160644531, 15.290626376867294, 15.420693665742874, 15.31573010981083, 15.080031529068947]"
azuki,FloorEthPrice_VolumeInEth,GRU_MODEL,True,True,False,1.6930554205350299,0.7592707771331461,1.8748666863563281,1.1259352001933256,"[15.358686625957489, 14.807872474193573, 14.148606151342392, 13.77237443625927, 13.882263198494911, 14.163179531693459, 14.665824294090271, 14.79932789504528, 14.418915420770645, 14.16797223687172, 14.151983186602592, 14.197218373417854, 14.290867030620575, 14.53969106823206, 14.340973377227783, 13.72249473631382, 13.066322140395641, 13.026349514722824, 13.173634976148605, 13.653705731034279, 13.73159721493721, 13.705734215676785, 13.756242424249649, 13.698645405471325, 13.329911336302757, 13.215617783367634, 13.217208668589592, 12.879091076552868, 12.494681775569916, 12.30413818359375, 12.310449421405792, 12.507726162672043, 12.74541574716568, 12.975955501198769, 13.062541499733925, 13.052506282925606, 12.971290066838264, 12.931452557444572, 13.00195187330246, 13.08977048099041, 13.076004311442375, 12.953956827521324, 12.929369151592255, 13.189711198210716, 13.575451612472534, 13.81342101842165, 13.94522999972105, 13.82955651730299, 13.844676464796066, 13.878568857908249, 13.920202106237411, 14.071279540657997, 14.46032027900219, 15.035497203469276, 15.315419778227806, 15.075414910912514, 14.673324555158615, 14.28097564727068, 14.016350850462914, 13.98224314302206, 14.072979390621185, 13.999607764184475, 14.034547962248325, 14.269502967596054, 14.344141200184822, 14.33603248000145, 14.523397788405418, 15.027069434523582, 15.45582215487957, 15.266711667180061, 14.888724312186241, 14.56591321527958, 14.338081017136574, 14.33695824444294, 14.364438280463219, 13.849526703357697, 13.201341658830643, 12.795964054763317, 12.80505520105362, 13.134462587535381, 13.504376962780952, 13.263216197490692, 12.734414666891098, 12.743914648890495, 15.415193125605583, 17.995753660798073, 17.049856022000313, 15.820008471608162, 14.842293128371239, 14.188089743256569]"
azuki,FloorEthPrice_Sales,LSTM_MODEL,True,False,True,1.6403675780974487,0.7094023037752512,1.8664594957507263,1.1233366781523848,"[13.59831938892603, 13.422691762447357, 13.856355741620064, 14.117995776236057, 14.068025417625904, 13.92702852934599, 13.323602713644505, 13.887529246509075, 14.559982918202877, 14.613590084016323, 14.47046010196209, 14.367414325475693, 14.20143487304449, 13.759568028151989, 13.876427046954632, 13.644288562238216, 13.57803799957037, 13.0766886100173, 13.442144148051739, 13.293357588350773, 13.6867900416255, 13.905020266771317, 13.80055620521307, 13.48852302879095, 13.412582449615002, 13.019404537975788, 12.845088846981525, 13.041112929582596, 12.952329330146313, 12.757425405085087, 12.732128150761127, 12.775529243052006, 12.917098850011826, 12.940015442669392, 12.916663862764835, 12.755294054746628, 12.68665498495102, 12.92536012083292, 13.210476391017437, 13.364229999482632, 13.334600307047367, 13.14194192737341, 12.91179095953703, 12.908719897270203, 13.27440295368433, 13.672518275678158, 13.596603848040104, 13.637812569737434, 13.64508792757988, 13.808913365006447, 14.148523338139057, 14.505277387797832, 14.376739963889122, 14.425516940653324, 14.780701026320457, 15.076012909412384, 14.786103934049606, 14.239779129624367, 14.090365804731846, 14.130616508424282, 14.150911845266819, 14.297990709543228, 14.261958248913288, 14.171171441674232, 14.384509585797787, 14.464066922664642, 14.25960461050272, 14.342944331467152, 14.64184682071209, 15.192720249295235, 15.223005473613739, 14.993039309978485, 14.649249449372292, 14.104194737970829, 13.365835703909397, 13.502439133822918, 13.59940467774868, 13.44485954940319, 13.486352451145649, 13.585817210376263, 13.63462033867836, 13.380355037748814, 13.058487139642239, 13.043554611504078, 15.9021155834198, 17.4697747528553, 17.24682068824768, 16.337139442563057, 15.276710271835327, 14.553138189017773]"
azuki,FloorEthPrice_Sales,GRU_MODEL,True,False,True,1.6361464584870948,0.7489314725822652,1.98824699503061,1.2341239299928608,"[14.975472450256348, 14.422912247478962, 13.655139707028866, 13.2722811922431, 13.45957676321268, 13.782215259969234, 14.361246049404144, 14.353294238448143, 13.999318353831768, 13.945908196270466, 14.103278562426567, 14.244685158133507, 14.396473042666912, 14.687538787722588, 14.448483221232891, 13.934725798666477, 13.36833230406046, 13.36413411051035, 13.34385446459055, 13.763993740081787, 13.772161737084389, 13.745078332722187, 13.867871135473251, 13.920293636620045, 13.610673375427723, 13.566253244876862, 13.53306781500578, 13.137407250702381, 12.781463027000427, 12.646985717117786, 12.648037008941174, 12.822628162801266, 13.046997897326946, 13.297488659620285, 13.417104922235012, 13.435405768454075, 13.353085957467556, 13.237433396279812, 13.235107652842999, 13.296338863670826, 13.290843553841114, 13.248915664851665, 13.267729081213474, 13.46115980297327, 13.712011456489563, 13.878246322274208, 14.068460404872894, 13.960271492600441, 13.908612616360188, 13.90303798019886, 13.936068244278431, 14.091664664447308, 14.521024100482464, 15.005250334739685, 15.168352246284485, 14.989822670817375, 14.772442370653152, 14.542819663882256, 14.293172724545002, 14.20138692855835, 14.242144100368023, 14.152130506932735, 14.222741402685642, 14.4590118303895, 14.49368353933096, 14.500363513827324, 14.712565809488297, 15.08819080889225, 15.343103796243668, 15.101198583841324, 14.846296057105064, 14.65934394299984, 14.529158972203732, 14.590129539370537, 14.64947435259819, 14.052636981010437, 13.400415010750294, 13.047805979847908, 13.050347037613392, 13.3296262845397, 13.69196891784668, 13.553708352148533, 13.209133945405483, 13.24758542329073, 15.307230859994888, 17.3783175945282, 16.932679697871208, 16.2253660261631, 15.555388033390045, 14.998637482523918]"
azuki,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,True,True,True,1.6238283979229484,0.6821046692530093,1.8796242882259944,1.1294100735626669,"[14.154566086828709, 13.914719872176647, 14.18089109659195, 14.221128724515438, 14.122771918773651, 14.026626661419868, 13.626013867557049, 14.16774820536375, 14.578615888953209, 14.516996763646603, 14.404294095933437, 14.3449702039361, 14.23965273052454, 14.00710192322731, 14.128640323877335, 13.850962422788143, 13.712208464741707, 13.312653936445713, 13.591537423431873, 13.537654794752598, 13.834914095699787, 13.997522614896297, 13.923600934445858, 13.704979307949543, 13.568506635725498, 13.24360254406929, 13.091091133654118, 13.180063895881176, 12.990387663245201, 12.797557555139065, 12.740032888948917, 12.767517283558846, 12.904627181589603, 12.995324201881886, 13.020129807293415, 12.998472847044468, 13.020019099116325, 13.206084676086903, 13.394128181040287, 13.485235780477524, 13.46454206854105, 13.27592846006155, 13.1185537353158, 13.253166161477566, 13.65310337394476, 14.011708952486515, 13.961224280297756, 13.990229822695255, 14.113977156579494, 14.217326290905476, 14.380417741835117, 14.532784447073936, 14.489748604595661, 14.792634844779968, 15.232817530632019, 15.38866326212883, 15.067117899656296, 14.556082852184772, 14.3660152181983, 14.340368404984474, 14.31509294360876, 14.339915111660957, 14.307855941355228, 14.330826580524445, 14.521878384053707, 14.570337183773518, 14.512113399803638, 14.830097794532776, 15.23205216228962, 15.59793135523796, 15.460958316922188, 15.119168177247047, 14.742057770490646, 14.329523362219334, 13.767126694321632, 13.801030419766903, 13.733688466250896, 13.492545135319233, 13.472307331860065, 13.512960769236088, 13.591146893799305, 13.353152208030224, 13.048798866569996, 13.056918047368526, 15.676256954669952, 17.221572250127792, 17.10492941737175, 16.37768478691578, 15.484158217906952, 14.825031369924545]"
azuki,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,True,True,True,1.6498576502498328,0.7078182874952095,1.9271276735087848,1.1588313051851806,"[14.895556837320328, 14.441878214478493, 14.104666337370872, 13.991066671907902, 14.1473648250103, 14.303282037377357, 14.50453032553196, 14.478891357779503, 14.317374229431152, 14.360734350979328, 14.379349887371063, 14.330837041139603, 14.337105564773083, 14.449004508554935, 14.135465875267982, 13.665711902081966, 13.149378553032875, 13.155124045908451, 13.152201175689697, 13.588363498449326, 13.577631779015064, 13.67648459225893, 13.78485395014286, 13.70613694936037, 13.324207685887814, 13.232017412781715, 13.110878258943558, 12.782183066010475, 12.559450417757034, 12.451410569250584, 12.433483690023422, 12.589712105691433, 12.783539459109306, 12.988693043589592, 13.02593283355236, 13.003986462950706, 12.863728791475296, 12.795248374342918, 12.909040689468384, 13.067738682031631, 13.134010165929794, 13.03165653347969, 13.011962682008743, 13.184588111937046, 13.436745598912239, 13.670881189405918, 13.839454874396324, 13.739864587783813, 13.830525867640972, 13.803871348500252, 13.889318883419037, 14.095376439392567, 14.52758552134037, 14.9453144967556, 15.091562613844872, 14.941581800580025, 14.764138385653496, 14.413590967655182, 14.069933608174324, 14.00519896298647, 14.074114367365837, 13.999448239803314, 14.082121968269348, 14.259653426706791, 14.251988410949707, 14.293039351701736, 14.489493191242218, 14.829431802034378, 15.102317869663239, 14.991274952888489, 14.885929584503174, 14.69929826259613, 14.496106043457985, 14.421732813119888, 14.2267364859581, 13.633934296667576, 13.195206508040428, 12.968244284391403, 12.983768709003925, 13.247009217739105, 13.558944761753082, 13.348629735410213, 12.900133475661278, 12.862541511654854, 14.9033412784338, 17.395340502262115, 16.93321144580841, 15.989514023065567, 15.112321704626083, 14.424919813871384]"
