Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth,Prediction_Start,SMA,RSI,buy_signal,sell_signal,action
meebits,5.0,7160.0,3.2,636,1644105600,433775.5203527999,False,4.428031,51.553901586841235,1,0,-1
meebits,3.82,6980.0,3.25,366,1644192000,270924.36224160006,False,4.4415309999999995,43.62510002098052,0,1,1
meebits,3.087,4900.0,3.07,228,1644537600,105603.35467620003,False,4.396381,38.97115480949088,0,1,1
meebits,2.86,3000.0,2.76,324,1644796800,100129.04379839996,False,4.339381,37.42559628568747,0,1,1
meebits,4.4,2210.0,3.1,150,1645228800,87478.2664758,False,4.356131,53.173934260109554,1,0,-1
meebits,2.56,6100.0,2.55,198,1645315200,90152.60800199998,False,4.184131000000001,38.64731755254912,0,1,1
meebits,2.79,5569.999999999999,2.55,168,1645488000,89697.67525859998,False,4.133631000000001,41.15900567775721,0,1,1
meebits,2.5,284.21,2.5,78,1645920000,18370.6979844,False,4.058631000000001,38.664282904909,0,1,1
meebits,4.865100000000001,286.25,2.302,120,1646092800,26224.065462600007,False,4.032386000000001,62.08932757693365,1,0,-1
meebits,3.19,2200.0,2.35,156,1646265600,65992.89193740003,False,4.003311000000001,46.40048934777401,0,1,1
meebits,2.6,1900.0,2.55,192,1646352000,59612.35334459999,False,3.8855610000000005,41.75526822417228,0,1,1
meebits,2.789,1900.0,2.75,216,1646438400,51550.19852040001,False,3.820011000000001,44.00013522229408,0,1,1
meebits,3.29,1800.0,3.13,192,1646524800,51567.32428320001,False,3.7820110000000016,50.34189831179988,0,0,0
meebits,3.0,250.8,3.0,90,1646697600,16265.412543,False,3.6795110000000015,46.529309830974256,0,1,1
meebits,3.3,296.87,3.19,246,1646784000,37839.4765242,False,3.6495110000000013,51.298713154228146,0,0,0
meebits,3.5475,303.43,3.056,240,1646870400,36438.69451380001,False,3.644386000000001,55.40109790754335,0,0,0
meebits,4.0,308.84,3.9,648,1646956800,5372.677841999997,False,3.6453860000000007,62.60076012423972,1,0,-1
meebits,5.5,309.51,5.02,282,1647043200,37961.3755044,False,3.7398800000000008,77.59068018602649,1,0,-1
meebits,4.62,242.8776732,4.62,54,1647129600,10901.6189484,False,3.7859300000000013,59.96531616510353,1,0,-1
meebits,4.7,312.87,4.65,240,1647216000,46822.0806132,False,3.6209300000000013,60.97274385351111,1,0,-1
meebits,4.11,324.2,4.1,192,1647302400,33927.2596938,False,3.576430000000001,49.49168898268497,0,0,0
meebits,4.23,5.4,4.23,60,1647388800,282.02400000000006,False,3.5969300000000017,51.79917852046769,1,0,-1
meebits,6.0,327.14,4.98,132,1647475200,31386.3477912,False,3.7425800000000016,73.83693963518276,1,0,-1
meebits,4.4,301.5,4.4,72,1647561600,7270.139928,False,3.819580000000002,48.68525001502809,0,0,0
meebits,5.399,333.97,5.25,312,1647648000,37041.6082536,False,3.869530000000002,59.46246080624675,1,0,-1
meebits,5.7,1000.0,5.401,186,1647734400,46741.809940800005,False,4.026530000000002,62.433928171897826,1,0,-1
meebits,5.223,282.55,5.001,174,1647820800,27362.724606600008,False,4.148180000000002,54.51778432933605,1,0,-1
meebits,5.85,337.22,5.26,156,1647907200,30492.994998,False,4.315680000000001,62.35944745845485,1,0,-1
meebits,5.4,348.71,5.3,150,1647993600,33571.671480000005,False,4.342425000000001,54.00603629856947,1,0,-1
meebits,5.64,323.2,5.64,54,1648080000,7704.0632064,False,4.464925000000002,57.77673756866113,1,0,-1
meebits,5.7,354.64,5.45,168,1648166400,35653.172668800005,False,4.619925000000002,58.83145667015411,1,0,-1
meebits,5.85,360.37,5.8,162,1648252800,36208.2345642,False,4.7729750000000015,61.81242350360083,1,0,-1
meebits,5.55145,364.3,5.551,102,1648339200,23700.083262599997,False,4.886047500000002,52.376876754564286,1,0,-1
meebits,5.2195,356.58,5.21,120,1648425600,30262.5434172,False,4.997022500000002,43.20965549717894,0,0,0
meebits,5.242,374.07,5.21,102,1648512000,29404.3523868,False,5.094122500000002,44.039505344763,0,0,0
meebits,4.9625,380.52,4.95,102,1648598400,29904.8055186,False,5.164872500000002,35.89494546989979,0,1,1
meebits,5.15,190.0,4.915,198,1648684800,24784.147971,False,5.222372500000002,44.501612916886344,0,1,1
meebits,4.822,133.14,4.821,162,1648771200,15952.131501779995,False,5.188472500000002,34.401922773865806,0,1,1
meebits,5.1,386.88,5.0,168,1648857600,44724.87102359999,False,5.212472500000002,47.117244177598856,0,1,1
meebits,4.75,312.88,4.355,210,1648944000,36554.624493,False,5.214972500000002,36.10381450077774,0,1,1
