Collection,FloorEthPrice,MaxEthPrice,MinEthPrice,Sales,TimeStamp,VolumeInEth
clonex,5.0,9.0,5.0,66,1641859200,423.84000000000003
clonex,5.301,5.39,5.301,18,1641945600,96.066
clonex,5.49,11.5,5.49,72,1642032000,483.71999999999997
clonex,5.65,7.0,5.65,30,1642118400,185.64
clonex,5.4,5.91,5.4,12,1642204800,67.86
clonex,5.5,5.5,5.5,6,1642291200,33.0
clonex,5.4,5.8,5.4,12,1642377600,67.19999999999999
clonex,5.315,5.4,5.315,12,1642464000,64.29
clonex,5.4,8.1,5.4,18,1642550400,116.75999999999999
clonex,5.727,7.2,5.727,30,1642636800,190.36200000000002
clonex,5.99,14.2069,5.99,42,1642723200,333.8214
clonex,5.4,11.0,5.4,36,1642809600,263.7
clonex,6.5,7.0,6.5,12,1642896000,81.0
clonex,10.0,10.0,10.0,6,1642982400,60.0
clonex,6.05,50.0,6.05,24,1643068800,504.3
clonex,6.9,28.9,6.7,174,1643155200,1651.38
clonex,8.01,130.0,8.0,156,1643241600,2472.9
clonex,9.3575,43.0,8.99,222,1643328000,2834.9399999999996
clonex,12.0,35.0,12.0,168,1643414400,2796.9132
clonex,11.2,27.777,11.2,120,1643500800,1921.6019999999999
clonex,15.0,47.5,15.0,216,1643587200,4523.681399999999
clonex,14.5,88.0,14.5,66,1643673600,1665.2939999999999
clonex,16.0,52.0,16.0,36,1643760000,1062.894
clonex,13.001,31.5,13.001,42,1643846400,785.4659999999999
clonex,15.0,47.5,15.0,18,1643932800,489.0
clonex,12.1,13.88,12.1,12,1644019200,155.88
clonex,14.0,21.69,14.0,30,1644105600,473.28
clonex,16.0,40.0,16.0,36,1644192000,752.31
clonex,44.0,44.0,44.0,6,1644278400,264.0
clonex,12.14,15.0,12.14,18,1644364800,235.74
clonex,15.0,20.0,15.0,18,1644451200,307.33320000000003
clonex,12.7,14.4,12.7,18,1644537600,240.89999999999998
clonex,15.63,19.1,15.63,18,1644624000,304.38
clonex,14.2,50.0,14.2,18,1644710400,478.2
clonex,14.01,14.01,14.01,6,1644796800,84.06
clonex,19.0,19.0,19.0,6,1644883200,114.0
clonex,15.0,15.0,15.0,12,1644969600,180.0
clonex,12.5,12.5,12.5,6,1645056000,75.0
clonex,9.0,21.0,9.0,18,1645315200,264.0
clonex,15.0,15.0,15.0,6,1645401600,90.0
clonex,11.763,17.3,11.763,12,1645488000,174.378
clonex,13.33,18.87,13.33,72,1645747200,1086.54
clonex,12.88,15.5,12.88,18,1645833600,253.68000000000004
clonex,11.451,11.451,11.451,6,1645920000,68.706
clonex,13.1,13.1,13.1,6,1646179200,78.6
clonex,23.0,42.069,23.0,48,1646265600,1487.2139999999997
clonex,12.54,12.54,12.54,6,1646352000,75.24
clonex,11.25,11.25,11.25,6,1646524800,67.5
clonex,10.5,11.5,10.5,18,1646611200,196.8
clonex,11.09,12.0,11.09,12,1646784000,138.54000000000002
clonex,10.28,10.28,10.28,6,1646956800,61.68
clonex,12.29,12.29,12.29,6,1647043200,73.74
clonex,10.0,11.5,10.0,30,1647129600,327.6
clonex,0.271,11.8,0.271,12,1647216000,72.426
clonex,11.002,11.022,11.002,12,1647302400,132.144
clonex,11.25,11.59,11.25,12,1647388800,137.04000000000002
clonex,10.25,11.8,10.25,24,1647475200,264.24
clonex,12.0,17.8,12.0,72,1647561600,1020.5700000000002
clonex,12.4,18.4,12.4,72,1647648000,1038.42
clonex,14.99,17.0,14.99,24,1647734400,371.94
clonex,13.0,17.9,13.0,36,1647907200,552.9
